insert into types values ('Compact', 10, 60, 200, 50, 'Fuel Efficient', 5, 'Two Standard Suitcases');
insert into types values ('Luxury', 50, 300, 1000, 150, 'AC', 5, 'Two Standard Suitcases');
insert into types values ('Truck', 20, 120, 400, 75, 'Towing', 3, '200lbs Truckbox');
insert into types values ('Van', 15, 90, 300, 75, 'Family Trips', 7, 'Three Suitcases and Two medium dogs');

insert into cars values ('00785123', 'BMW', '2 Series', 2007, 'blue', 'HR5-XSY', 'Luxury', 2);
insert into cars values ('00785124', 'Toyota', 'Corolla', 2023, 'grey', 'CGO-25O', 'Compact', 3);
insert into cars values ('00785125', 'Hyundai', 'Kona', 1998, 'red', 'ZLV-XYB', 'Compact', 3);
insert into cars values ('00785126', 'Toyota', 'Corolla', 2006, 'red', '54Y-5J0', 'Compact', 2);
insert into cars values ('00785127', 'Ford', 'F-150', 2015, 'blue', 'W3J-POS', 'Truck', 5);
insert into cars values ('00785128', 'Ford', 'F-150', 2005, 'blue', '9T0-Z7Q', 'Truck', 1);
insert into cars values ('00785129', 'Honda', 'Civic', 2001, 'red', 'HXJ-2PZ', 'Compact', 2);
insert into cars values ('00785130', 'Honda', 'CR-V', 2012, 'red', 'OK6-5M7', 'Compact', 4);
insert into cars values ('00785131', 'Hyundai', 'Kona', 2015, 'black', 'G5M-0OB', 'Compact', 1);
insert into cars values ('00785132', 'Hyundai', 'Tucson', 2021, 'black', '4ZT-K4Y', 'Compact', 4);
insert into cars values ('00785133', 'Nissan', 'Rogue', 2011, 'grey', 'P2A-D41', 'Compact', 1);
insert into cars values ('00785134', 'Hyundai', 'Tucson', 2008, 'black', 'REJ-HJD', 'Compact', 5);
insert into cars values ('00785135', 'Ford', 'Transit', 2005, 'red', 'YAD-L2Y', 'Van', 2);
insert into cars values ('00785136', 'Hyundai', 'Tucson', 2004, 'blue', 'GY0-ZIH', 'Compact', 1);
insert into cars values ('00785137', 'Honda', 'Civic', 2007, 'blue', 'XS3-ROO', 'Compact', 4);
insert into cars values ('00785138', 'Toyota', 'Camry', 2001, 'black', 'EUB-QW6', 'Compact', 1);
insert into cars values ('00785139', 'Nissan', 'Rogue', 1999, 'black', '10D-RBQ', 'Compact', 2);
insert into cars values ('00785140', 'Ford', 'F-150', 2013, 'grey', 'PNX-QKY', 'Truck', 2);
insert into cars values ('00785141', 'Nissan', 'Altima', 1998, 'red', '195-UIQ', 'Compact', 2);
insert into cars values ('00785142', 'BMW', '4 Series', 2011, 'grey', 'BVC-XC8', 'Luxury', 5);
insert into cars values ('00785143', 'Nissan', 'Altima', 2019, 'grey', '7JM-LDY', 'Compact', 5);
insert into cars values ('00785144', 'Toyota', 'Corolla', 2016, 'black', 'ZX1-AAQ', 'Compact', 5);
insert into cars values ('00785145', 'General Motors', '1500', 2000, 'red', '356-6SB', 'Truck', 2);
insert into cars values ('00785146', 'BMW', '2 Series', 2008, 'black', 'DIN-HTW', 'Luxury', 2);
